"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 18 17:24:37 UTC 2026","Wed Feb 18 17:24:37 UTC 2026","11","","com.roomfinder.roomzy.service.impl.OtpServiceImplTest","","com.roomfinder.roomzy.service.impl.OtpServiceImplTest","sendOtpTooManyRequests_fail","sendOtpTooManyRequests_fail()",""
"passed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","295","","com.roomfinder.roomzy.service.impl.AmenitiesServiceImplTest","","com.roomfinder.roomzy.service.impl.AmenitiesServiceImplTest","testGetAmenities_success","testGetAmenities_success()",""
"failed","Wed Feb 18 17:24:39 UTC 2026","Wed Feb 18 17:24:39 UTC 2026","12","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","testUpdateUserNameIsNull_fail","testUpdateUserNameIsNull_fail()",""
"passed","Wed Feb 18 17:24:37 UTC 2026","Wed Feb 18 17:24:37 UTC 2026","17","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","testUpdateRoomListing_success","testUpdateRoomListing_success()",""
"passed","Wed Feb 18 17:24:39 UTC 2026","Wed Feb 18 17:24:39 UTC 2026","5","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","testShouldNotCreateUserIfPhoneNumberIsBlank_fail","testShouldNotCreateUserIfPhoneNumberIsBlank_fail()",""
"failed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:39 UTC 2026","187","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","testUpdateUserUserNotFound_fail","testUpdateUserUserNotFound_fail()",""
"passed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","12","","com.roomfinder.roomzy.service.impl.AmenitiesServiceImplTest","","com.roomfinder.roomzy.service.impl.AmenitiesServiceImplTest","testGetSelectedAmenities_amenityMismatch_fail","testGetSelectedAmenities_amenityMismatch_fail()",""
"broken","Wed Feb 18 17:24:50 UTC 2026","Wed Feb 18 17:24:50 UTC 2026","6","","com.roomfinder.roomzy.controller.UserControllerTest","","com.roomfinder.roomzy.controller.UserControllerTest","getUser_success","getUser_success()",""
"passed","Wed Feb 18 17:24:39 UTC 2026","Wed Feb 18 17:24:39 UTC 2026","3","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","testGetUserEntityByPhoneNumberNotFound_fail","testGetUserEntityByPhoneNumberNotFound_fail()",""
"passed","Wed Feb 18 17:24:39 UTC 2026","Wed Feb 18 17:24:39 UTC 2026","6","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","testShouldNotCreateUserIfAlreadyExists_fail","testShouldNotCreateUserIfAlreadyExists_fail()",""
"passed","Wed Feb 18 17:24:39 UTC 2026","Wed Feb 18 17:24:39 UTC 2026","12","","com.roomfinder.roomzy.service.impl.PageListingServiceImplTest","","com.roomfinder.roomzy.service.impl.PageListingServiceImplTest","testUpdatePageListing_success","testUpdatePageListing_success()",""
